experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,False,0.001,"{'attribute_list': ['node_features', 'node_degree', 'clustering_coefficient'], 'max_depth': 4}",,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,1.0768875426947488e-06,NodeOCGIN,train_node_ocgin,,,baseline,
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.102352338098764,1654,143,0,15760,0.0949810497300476,0.9999999999300698,0.9999999999939542,0.5474905248300588,0.0,0.3668957377754897,0.0183250643312931,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.986615025346016,17308,14,129,106,0.99391294360802,0.0979020978952516,0.9926019384062668,0.5459075207516357,0.9020979020348184,0.5457673714823136,0.0226534400135278,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.5099390556473201,8826,127,16,8588,0.5068335821749702,0.8881118880497824,0.9981904546471406,0.6974727351123763,0.1118881118802875,0.7269960428912997,0.003794748103246,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.0136697613487497,97,143,0,17317,0.0055702308487391,0.9999999999300698,0.9999999998969072,0.5027851153894045,0.0,0.5027851154243712,9.15617147256853e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,5.393841320255888e-07,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.984849347838469,17289,2,141,125,0.9928218674623908,0.0139860139850359,0.9919104991388455,0.5034039407237133,0.986013985945034,0.5062601347199946,0.0008285545627586,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.7869795523153158,13679,138,5,3735,0.7855173997928186,0.96503496496748,0.9996346097624964,0.8752761823801494,0.0349650349625898,0.8252651792906759,0.2905219197273254,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.981659736857094,17136,99,44,278,0.9840358332370598,0.6923076922592791,0.9974388824208396,0.8381717627481695,0.3076923076707907,0.828883158876268,0.5012141466140747,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.9911146551233126,17398,3,140,16,0.9990811990346852,0.0209790209775539,0.99201733378892,0.5100301100061195,0.979020978952516,0.087550528029453,0.0330722443759441,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
