experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list
node,cuda,0.001,50,32,CS,False,4,2,False,0.001,"{'attribute_list': ['node_features', 'node_degree', 'clustering_coefficient'], 'max_depth': 4}",,0.008144899470296748,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,1.0768875426947488e-06,NodeOCGIN,train_node_ocgin,,
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.10235233809876403,1654,143,0,15760,0.09498104973004767,0.9999999999300698,0.9999999999939542,0.5474905248300588,0.0,0.3668957377754897,0.018325064331293106,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.9866150253460159,17308,14,129,106,0.99391294360802,0.0979020978952516,0.9926019384062668,0.5459075207516357,0.9020979020348183,0.5457673714823136,0.02265344001352787,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.5099390556473201,8826,127,16,8588,0.5068335821749702,0.8881118880497824,0.9981904546471406,0.6974727351123763,0.11188811188028754,0.7269960428912997,0.003794748103246093,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.013669761348749787,97,143,0,17317,0.0055702308487391924,0.9999999999300698,0.9999999998969072,0.5027851153894045,0.0,0.5027851154243712,9.15617147256853e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.008144899470296748,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,5.393841320255888e-07,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.984849347838469,17289,2,141,125,0.9928218674623907,0.013986013985035942,0.9919104991388457,0.5034039407237133,0.986013985945034,0.5062601347199946,0.0008285545627586544,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.7869795523153158,13679,138,5,3735,0.7855173997928186,0.96503496496748,0.9996346097624965,0.8752761823801494,0.034965034962589854,0.8252651792906759,0.29052191972732544,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.9816597368570941,17136,99,44,278,0.9840358332370598,0.6923076922592791,0.9974388824208397,0.8381717627481695,0.30769230767079075,0.828883158876268,0.5012141466140747,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.9911146551233126,17398,3,140,16,0.9990811990346852,0.020979020977553914,0.99201733378892,0.5100301100061195,0.9790209789525159,0.08755052802945304,0.03307224437594414,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.9878680868029845,17338,6,137,76,0.9956356954169084,0.04195804195510783,0.9921602288978585,0.5187968686860082,0.958041957974962,0.16585361348195846,0.044570617377758026,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.008144899470296748,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.4997990122889629,0.002082962542772293,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.008144899470296748,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.49647498476027246,0.00042816365021280944,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLFuzzyBasedHandler,0.975223557555391,17066,56,87,348,0.9800160790163202,0.3916083915810064,0.9949280009322014,0.6858122352986633,0.6083916083490635,0.6532610607492886,0.00018998028826899827,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,CS,False,4,2,True,1.0,,NLDistanceBasedHandler,0.8578914393119553,14968,94,49,2446,0.859538302514724,0.6573426572966893,0.9967370313637898,0.7584404799057066,0.3426573426333806,0.8079509212505652,0.0029686326161026955,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient"
