experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,l_factor,dt_max_depth,dt_attribute_list,decision_tree
node,cpu,0.001,50,32,Cora,False,4,2,False,,0.9634093844167025,2238,0,71,14,0.993783303725605,0.0,0.9692507578996569,0.4968916518628025,0.999999999859155,0.519137918094714,7.459140306309564e-06,NodeOCGIN,train_node_ocgin,,,,
node,cpu,0.001,50,32,Cora,False,4,2,True,NLRuleBasedHandler,0.27593628928110203,575,66,5,1677,0.25532859680170816,0.9295774646578061,0.9913793103277349,0.5924530307297571,0.07042253520134895,0.5274091261601581,0.42832788825035095,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLConstraintScoreBasedHandler,0.4847180370210934,1073,53,18,1179,0.4764653641186658,0.7464788731342988,0.9835013748764116,0.6114721186264823,0.2535211267248562,0.6150901858754659,0.6080434918403625,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLRuleBasedHandler,0.043478260869565216,30,71,0,2222,0.013321492007045643,0.999999999859155,0.9999999996666666,0.5066607459331003,0.0,0.4193111600330223,5.969455969534465e-07,NodeOCGINLossConstrains,train_node_ocgin_weighting,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLConstraintScoreBasedHandler,0.03056392595781317,0,71,0,2252,0.0,0.999999999859155,0.0,0.4999999999295775,0.0,0.4635159982988517,0.020156484097242355,NodeOCGINLossConstrains,train_node_ocgin_weighting,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLRuleBasedHandler,0.8381403357727077,1926,21,50,326,0.8552397868523303,0.2957746478456656,0.974696356270371,0.5755072173489979,0.7042253520134895,0.5982319315537987,1.9331244402565062e-05,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLConstraintScoreBasedHandler,0.9108910891089109,2113,3,68,139,0.9382770870295815,0.042253521120809365,0.9688216414444346,0.4902653040751954,0.9577464787383456,0.4801584819753334,0.0034110110718756914,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,1.0,3.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLRuleBasedHandler,0.052518295307791646,53,69,2,2199,0.023534635879113967,0.9718309857786155,0.963636363461157,0.49768281082886473,0.028169014080539578,0.32132001601080734,0.37145107984542847,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,1.0,2.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLConstraintScoreBasedHandler,0.03056392595781317,0,71,0,2252,0.0,0.999999999859155,0.0,0.4999999999295775,0.0,0.5,0.5,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,1.0,2.0,"node_features, node_degree, clustering_coefficient",
node,cpu,0.001,50,32,Cora,False,4,2,True,NLRuleBasedHandler,0.7709857942315971,1767,24,47,485,0.7846358792149883,0.3380281689664749,0.9740904079328881,0.5613320240907316,0.6619718308926801,0.6253346008555776,0.0005967672914266586,NodeOCGINLossConstrains,train_node_ocgin_weighting,1.0,2.0,"node_features, node_degree, clustering_coefficient",
