experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list
node,cuda,0.001,50,32,Wisconsin,False,4,2,False,0.001,"{'attribute_list': ['node_features', 'node_degree', 'clustering_coefficient'], 'max_depth': 2}",,0.5166666666666667,122,2,0,116,0.5126050419952687,0.999999995,0.9999999999180328,0.7563025184976344,0.0,0.6932773109243697,0.002423300873488188,NodeOCGIN,train_node_ocgin,,
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.8666666666666667,208,0,2,30,0.8739495797952122,0.0,0.9904761904290249,0.4369747898976061,0.999999995,0.08823529411764705,0.0005460673710331321,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.49159663865546216,1.5250758167439926e-07,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.625,149,1,1,89,0.6260504201417626,0.4999999975,0.993333333267111,0.5630252088208814,0.4999999975,0.5105042016806722,4.825922951567918e-05,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.05416666666666667,11,2,0,227,0.046218487393016025,0.999999995,0.999999999090909,0.523109241196508,0.0,0.6491596638655462,0.0003598456969484687,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,8.968645852291957e-05,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.49159663865546216,7.8477278009359e-09,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.6708333333333333,161,0,2,77,0.676470588206871,0.0,0.9877300612890962,0.3382352941034355,0.999999995,0.3760504201680672,0.000489183992613107,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.0875,19,2,0,219,0.07983193276975496,0.999999995,0.9999999994736841,0.5399159638848775,0.0,0.4800420168067227,0.001114219194278121,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLRuleBasedHandler,0.6416666666666667,154,0,2,84,0.6470588235022244,0.0,0.9871794871162064,0.3235294117511122,0.999999995,0.46428571428571425,6.329175812425092e-05,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,1.0,,NLConstraintScoreBasedHandler,0.44166666666666665,105,1,1,133,0.44117647056969844,0.4999999975,0.9905660376423995,0.47058823403484923,0.4999999975,0.4422268907563025,5.203118780627847e-05,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.8333333333333334,199,1,1,39,0.8361344537463808,0.4999999975,0.99499999995025,0.6680672256231904,0.4999999975,0.8529411764705883,2.911615638367948e-06,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.8291666666666667,198,1,1,40,0.8319327730742885,0.4999999975,0.9949748743218605,0.6659663852871442,0.4999999975,0.6228991596638656,3.22866762871854e-05,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.12083333333333333,27,2,0,211,0.11344537814649389,0.999999995,0.9999999996296296,0.556722686573247,0.0,0.5567226890756303,0.0011847206624224782,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.0125,1,2,0,237,0.004201680672092366,0.999999995,0.9999999900000002,0.5021008378360462,0.0,0.5021008403361344,1.570259797745166e-07,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.025,5,1,1,233,0.021008403360461832,0.4999999975,0.8333333319444445,0.2605042004302309,0.4999999975,0.26050420168067223,1.00419356385828e-07,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.5375,127,2,0,111,0.5336134453557305,0.999999995,0.9999999999212599,0.7668067201778652,0.0,0.7605042016806722,0.00025304980226792395,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.7394957983193278,6.34256664966415e-08,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLRuleBasedHandler,0.08333333333333333,18,2,0,220,0.0756302520976626,0.999999995,0.9999999994444444,0.5378151235488313,0.0,0.35714285714285715,0.0016877888701856136,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.1,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.7394957983193278,4.015389265532576e-08,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.020833333333333332,3,2,0,235,0.012605042016277098,0.999999995,0.9999999966666667,0.5063025185081386,0.0,0.4789915966386554,0.0029579552356153727,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.725,174,0,2,64,0.7310924369440718,0.0,0.988636363580191,0.3655462184720359,0.999999995,0.17016806722689076,5.433555998024531e-05,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,3.040325324832338e-08,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.49159663865546216,3.8904374832782196e-07,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0001568272855365649,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.2916666666666667,68,2,0,170,0.2857142857022809,0.999999995,0.9999999998529413,0.6428571403511405,0.0,0.8802521008403361,0.006806087680160999,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,3.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.49583333333333335,118,1,1,120,0.4957983193068992,0.4999999975,0.9915966385721348,0.4978991584034496,0.4999999975,0.5273109243697479,0.011465402320027351,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.03333333333333333,6,2,0,232,0.025210084032554196,0.999999995,0.9999999983333333,0.5126050395162771,0.0,0.5126050420168067,1.3797407660831595e-08,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_weighting,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLRuleBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,0.0,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.5,,NLConstraintScoreBasedHandler,0.008333333333333333,0,2,0,238,0.0,0.999999995,0.0,0.4999999975,0.0,0.5,1.7470524937834853e-07,NodeOCGINLossConstrains,train_node_ocgin_irnoring_sus,2.0,"node_features, node_degree, clustering_coefficient"
node,cuda,0.001,50,32,Wisconsin,False,4,2,True,0.01,,NLRuleBasedHandler,0.0625,13,2,0,225,0.05462184873720076,0.999999995,0.9999999992307692,0.5273109218686004,0.0,0.37815126050420167,0.0005099505069665611,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient"
